ID,CLIENTE_MORA,SEXO,EDAD,INGRESO,SCORE_DATACREDITO,CRED_REESTRUCTURADO,ANT_SF,SALDO_SF,TIENE_HIPOTECA,ULTIMAPERTURA,SALDO_FIJO,SALDO_ROT,ESTADO_MORA_FIN,ESTADO_MORA_REAL
245411,0,F,51,5.373539117,675,0,6.83,133.124423,0,35,86.19189872,68.09308846,0.0,0.0
278521,0,M,32,20.0093338,812,0,7.83,282.607212,0,18,68.24292051,19.08165513,0.0,0.0
58481,0,M,58,5.537541027,812,0,6.17,10.650218,0,3,26.7647859,44.26470897,0.0,0.0
183771,0,F,40,5.83802775,840,0,7.0,87.428428,1,7,32.29132051,29.55822564,0.0,0.0
310611,0,M,63,2.192562458,625,0,0.0,0.0,0,-1,0.0,0.0,0.0,0.0
547471,0,F,40,3.627854348,938,0,9.75,48.786716,-1,60,0.0,45.58526026,0.0,0.0
50041,0,M,57,14.35071754,794,0,5.42,438.078822,1,2,80.67180897,74.42896923,2.230769231,0.0
127861,0,F,43,2.510660124,671,0,6.42,21.811153,0,16,2.893974359,60.25782821,0.294871795,0.0
280341,0,F,37,3.061002106,771,0,5.25,29.73938,0,5,87.46389231,42.03691154,0.0,0.0
417541,0,F,50,3.241514276,928,0,6.0,0.0,0,8,69.31481154,4.637147436,0.0,0.0
457101,0,M,47,4.926661427,862,0,26.5,2.337852,0,12,45.90090128,4.72775641,0.0,0.0
320001,0,F,65,3.62014956,947,0,8.75,0.0,0,60,3.857953846,0.0,0.0,0.0
340971,0,M,42,2.553586798,890,0,7.17,58.33625,0,3,14.08263077,0.0,0.0,0.0
158031,0,M,44,3.860098665,812,0,6.08,50.772349,0,11,55.59618974,20.83769231,0.0,0.0
172531,0,M,63,2.648245619,876,0,11.08,7.895206,0,5,55.81553077,29.01603077,0.0,0.0
52031,0,F,56,3.069807578,846,0,6.92,24.604689,0,60,79.64530641,16.76390897,0.0,0.0
54351,0,F,55,4.789075931,788,0,24.75,9.569346,0,10,0.0,40.04980128,0.0,0.0
219691,0,F,60,11.22147302,803,0,23.17,54.610434,0,41,0.0,28.82908462,0.0,0.0
309001,0,F,64,3.387905244,867,0,10.92,5.944794,0,7,66.40608974,13.32991154,0.0,0.0
299041,0,M,21,1.649925263,557,0,1.5,9.542929,0,18,71.75511667,0.0,0.0,0.0
119601,0,F,61,4.978393573,908,0,33.17,0.330205,0,60,0.0,5.150152564,0.141025641,0.0
145901,0,M,36,2.527170383,840,0,2.5,4.128665,0,30,19.11379872,42.77963846,0.653846154,0.0
425841,0,M,49,3.300951211,904,0,11.17,1.198644,0,28,84.14751154,1.357660256,0.0,0.0
