SEXO,EDAD,INGRESO,SCORE_DATACREDITO,ANT_SF,TIENE_HIPOTECA,ULTIMAPERTURA,SALDO_FIJO,SALDO_ROT,ESTADO_MORA_FIN,proba_mora,aprobacion,aprobacion_recalibrada
1,45,16.05127426,918,19.67,0,50,0.0,4.186632051,0.0,0.08254716981132075,1,0
0,49,3.864501401,913,7.0,1,11,0.0,0.0,0.0,0.08254716981132075,1,0
0,55,1.859055216,703,0.67,0,7,71.1775641,24.96282051,0.0,0.5805626598465473,1,0
0,45,2.287221279,634,0.58,0,6,0.0,31.70121795,0.0,0.5805626598465473,1,0
1,68,3.76433916,928,23.25,0,60,42.2350859,0.0,0.0,0.08254716981132075,1,0
1,47,1.312015286,776,0.0,0,-1,0.0,0.0,0.0,0.3663624511082138,1,0
0,47,16.7623161,803,20.83,0,6,82.8079,84.79032179,0.243589744,0.5416666666666666,1,0
1,34,1.631213636,625,2.25,0,3,29.75223974,78.27827692,0.0,0.7241379310344828,0,0
1,50,11.63973293,704,19.75,1,5,80.97643846,40.03553974,0.0,0.5805626598465473,1,0
0,62,17.02648025,754,24.33,0,60,32.14964103,92.44129744,0.0,0.3663624511082138,1,0
1,68,6.225468506,776,6.17,0,7,97.51007564,0.0,0.0,0.3663624511082138,1,0
0,40,1.925096254,840,13.0,0,5,68.00788462,51.91297564,0.0,0.07563025210084033,1,0
0,35,2.183756986,744,2.17,0,15,88.53648205,38.89643077,0.0,0.3663624511082138,1,0
0,60,7.84787667,776,25.58,0,7,50.10073462,65.39310897,0.0,0.3663624511082138,1,0
0,29,3.600337249,894,1.5,1,19,0.0,9.492948718,0.0,0.08254716981132075,1,0
0,31,2.845268049,616,10.92,0,4,29.86576795,17.21738077,0.0,0.7241379310344828,0,0
0,46,1.375854956,325,0.0,0,-1,0.0,0.0,0.0,0.8394698085419735,0,0
0,47,11.10149847,680,3.0,0,12,43.98632692,14.03522949,0.153846154,0.6917098445595855,0,0
1,43,2.223381609,692,1.83,0,-1,62.56448077,0.0,0.0,0.5805626598465473,1,0
1,48,2.542579959,817,0.0,0,-1,3.504065385,0.0,0.0,0.3663624511082138,1,0
1,37,8.129651765,853,9.33,1,25,33.20346795,28.28685641,0.0,0.24358974358974358,1,0
0,55,2.123219368,807,19.83,0,60,0.0,0.0,0.0,0.3663624511082138,1,0
0,44,2.815549582,798,3.17,0,4,87.6861359,30.49204487,0.051282051,0.3663624511082138,1,0
0,31,4.703222582,913,2.67,1,6,22.61971795,10.05228974,0.0,0.08254716981132075,1,0
0,34,1.538756183,584,0.0,0,-1,26.04587051,0.0,1.615384615,0.8394698085419735,0,0
1,61,1.303209814,744,0.58,0,8,107.2926821,0.0,0.0,0.3663624511082138,1,0
1,24,2.378578048,564,0.58,0,8,0.0,46.90344103,0.0,0.8394698085419735,0,0
0,53,7.509966693,922,14.92,-1,-1,0.616479487,4.823342308,0.0,0.08254716981132075,1,0
0,41,15.66713556,771,21.5,1,3,0.0,23.92894615,0.0,0.3663624511082138,1,0
1,32,1.275692715,240,8.75,0,-1,205.9503949,0.0,6.0,0.8394698085419735,0,0
1,40,3.390106612,844,6.83,-1,-1,48.90103718,83.36219487,0.0,0.24358974358974358,1,0
1,51,3.025780219,766,14.17,-1,60,83.99814103,12.39645641,0.0,0.3663624511082138,1,0
1,55,2.06818517,690,0.92,0,12,40.06776795,77.87691795,0.0,0.5805626598465473,1,0
1,58,4.228827793,904,6.83,0,7,66.5590359,21.31344359,0.0,0.08254716981132075,1,0
0,30,1.712664249,817,4.0,0,49,0.0,2.560261538,0.0,0.3663624511082138,1,0
0,55,1.87666616,588,0.58,0,6,92.55673205,0.0,0.0,0.8394698085419735,0,0
1,55,13.1795898,913,17.67,0,60,70.67369231,22.73699359,0.0,0.08254716981132075,1,0
1,57,5.495715037,771,4.08,0,9,93.74773077,21.59736667,0.384615385,0.5416666666666666,1,0
1,59,3.62014956,890,20.58,0,30,9.400153846,23.78992692,0.076923077,0.08254716981132075,1,0
0,36,1.457305569,656,3.92,0,48,67.11016923,0.0,0.0,0.5805626598465473,1,0
0,52,1.859055216,867,0.17,0,-1,0.0,46.34417051,0.0,0.24358974358974358,1,0
1,24,1.931700358,532,1.75,0,22,0.0,60.50083974,2.346153846,0.8394698085419735,0,0
0,35,2.114413896,602,0.0,0,-1,17.24343718,0.0,0.769230769,0.7241379310344828,0,0
0,70,3.107230833,671,23.83,0,3,92.98121026,93.56947821,0.461538462,0.6917098445595855,0,0
1,34,3.426429183,794,11.0,0,60,19.28102564,7.155070513,0.0,0.3663624511082138,1,0
0,50,8.102134666,707,8.5,0,9,74.68986795,105.2119154,0.333333333,0.6917098445595855,0,0
1,45,18.00168625,835,13.33,1,2,74.23671795,18.45392051,0.0,0.07563025210084033,1,0
1,34,9.351410966,629,12.42,0,23,64.1805641,42.4720859,0.0,0.7241379310344828,0,0
0,56,2.25970418,798,6.08,-1,60,0.0,69.37851282,0.0,0.3663624511082138,1,0
1,57,3.918434915,766,11.75,1,13,79.99983718,66.32279615,0.064102564,0.3663624511082138,1,0
0,30,5.440680839,938,1.42,-1,-1,0.0,3.729761538,0.0,0.08254716981132075,1,0
1,46,3.262427272,938,10.92,0,11,82.48799359,29.13411538,0.0,0.08254716981132075,1,0
0,27,2.55138543,684,0.92,0,-1,93.14286923,0.0,0.0,0.5805626598465473,1,0
1,35,6.560076431,858,11.58,0,6,3.600333333,53.88879359,0.179487179,0.24358974358974358,1,0
0,63,4.192505222,725,5.75,0,3,98.86291282,24.80234744,0.0,0.5805626598465473,1,0
0,49,13.90934327,872,10.42,1,28,33.18231923,21.67543333,0.0,0.24358974358974358,1,0
0,47,3.144654088,860,7.67,0,60,78.05304103,50.66658718,0.0,0.24358974358974358,1,0
1,41,2.670259299,712,6.0,-1,5,54.01304231,45.56857564,0.269230769,0.6917098445595855,0,0
0,44,2.57890253,875,0.0,0,-1,0.0,0.0,0.0,0.24358974358974358,1,0
0,38,4.109953925,725,12.08,0,60,0.47759359,96.6601359,0.153846154,0.6917098445595855,0,0
