ID,SEXO,EDAD,INGRESO,SCORE_DATACREDITO,CRED_REESTRUCTURADO,ANT_SF,SALDO_SF,TIENE_HIPOTECA,ULTIMAPERTURA,SALDO_FIJO,SALDO_ROT,ESTADO_MORA_FIN,ESTADO_MORA_REAL,PROB_MORA,PRED_MORA
446791,F,45,16.05127426,918,0,19.67,12.598428,0,50,0.0,4.186632051,0.0,0.0,0.087849855,0
255361,M,49,3.864501401,913,0,7.0,74.340194,1,11,0.0,0.0,0.0,0.0,0.10335897,0
261781,M,55,1.859055216,703,0,0.67,2.972947,0,7,71.1775641,24.96282051,0.0,0.0,0.61418176,1
289471,M,45,2.287221279,634,0,0.58,6.388369,0,6,0.0,31.70121795,0.0,0.0,0.6775074,1
393461,F,68,3.76433916,928,0,23.25,0.0,0,60,42.2350859,0.0,0.0,0.0,0.123249695,0
388321,F,47,1.312015286,776,0,0.0,0.0,0,-1,0.0,0.0,0.0,0.0,0.37462017,0
430361,M,47,16.7623161,803,0,20.83,187.428868,0,6,82.8079,84.79032179,0.243589744,0.0,0.43782243,1
106611,F,34,1.631213636,625,0,2.25,6.653634,0,3,29.75223974,78.27827692,0.0,0.0,0.722185,1
168331,F,50,11.63973293,704,0,19.75,213.113328,1,5,80.97643846,40.03553974,0.0,0.0,0.44639593,1
331561,M,62,17.02648025,754,0,24.33,82.54029,0,60,32.14964103,92.44129744,0.0,0.0,0.38218975,0
450991,F,68,6.225468506,776,0,6.17,273.579402,0,7,97.51007564,0.0,0.0,0.0,0.37730008,0
90841,M,40,1.925096254,840,0,13.0,2.942128,0,5,68.00788462,51.91297564,0.0,0.0,0.20910159,0
516401,M,35,2.183756986,744,0,2.17,19.071551,0,15,88.53648205,38.89643077,0.0,0.0,0.43973964,1
305131,M,60,7.84787667,776,0,25.58,58.872283,0,7,50.10073462,65.39310897,0.0,0.0,0.35467726,0
218861,M,29,3.600337249,894,0,1.5,73.285739,1,19,0.0,9.492948718,0.0,0.0,0.082341224,0
67011,M,31,2.845268049,616,0,10.92,41.105042,0,4,29.86576795,17.21738077,0.0,0.0,0.67432076,1
436161,M,46,1.375854956,325,0,0.0,0.0,0,-1,0.0,0.0,0.0,0.0,0.7394936,1
203541,M,47,11.10149847,680,0,3.0,35.121724,0,12,43.98632692,14.03522949,0.153846154,0.0,0.5776475,1
26151,F,43,2.223381609,692,0,1.83,6.256287,0,-1,62.56448077,0.0,0.0,0.0,0.52972615,1
478381,F,48,2.542579959,817,0,0.0,0.0,0,-1,3.504065385,0.0,0.0,0.0,0.33771163,0
223601,F,37,8.129651765,853,0,9.33,220.704745,1,25,33.20346795,28.28685641,0.0,0.0,0.17837912,0
341481,M,55,2.123219368,807,0,19.83,0.0,0,60,0.0,0.0,0.0,1.141025641,0.32803848,0
507791,M,44,2.815549582,798,0,3.17,29.40147,0,4,87.6861359,30.49204487,0.051282051,0.0,0.37824395,0
231401,M,31,4.703222582,913,0,2.67,102.628873,1,6,22.61971795,10.05228974,0.0,0.0,0.0780986,0
481601,M,34,1.538756183,584,0,0.0,0.0,0,-1,26.04587051,0.0,1.615384615,1.615384615,0.8171831,1
328321,F,61,1.303209814,744,0,0.58,1.507937,0,8,107.2926821,0.0,0.0,0.0,0.4582117,1
396041,F,24,2.378578048,564,0,0.58,3.016974,0,8,0.0,46.90344103,0.0,0.0,0.7308023,1
217751,M,53,7.509966693,922,0,14.92,360.246156,-1,-1,0.616479487,4.823342308,0.0,0.0,0.072777726,0
539201,M,41,15.66713556,771,0,21.5,447.331171,1,3,0.0,23.92894615,0.0,0.0,0.25935698,0
246511,F,32,1.275692715,240,0,8.75,0.0,0,-1,205.9503949,0.0,6.0,6.0,0.7717404,1
